year,salary
2003,41304.52
2004,42967.04
2005,44938.75
2006,41317.38
2007,44449.05
2008,48411.03
2009,44811.68
2010,44657.86
2011,46448.47
2012,47969.19
2013,49086.20
2014,49076.99
2015,51734.68
2016,56536.19
2017,60363.96
2018,65581.94
2019,69938.29
2020,73111.28
2021,83337.71
2022,91732.84
2023,98685.75
